method,query,language,search_time_ms,num_relevant,precision@10,recall@50,ndcg@10,mrr
Fuzzy,Rohingya refugee crisis in Bangladesh,bn,3159.9042415618896,10,0.0,0.2,0.0,0.047619047619047616
Fuzzy,Bangladesh earthquake preparedness,en,2131.2811374664307,1,0.0,0.0,0.0,0.0
Fuzzy,Bangladesh garment worker heat stress,bn,3144.8793411254883,4,0.0,0.0,0.0,0.0
Fuzzy,Bangladesh T20 World Cup security concerns,en,3776.202440261841,10,0.2,0.4,0.20483424751859086,0.3333333333333333
Fuzzy,Bangladesh quantum computing research,en,2704.6525478363037,0,0.0,0.0,0.0,0.0
Semantic,শিক্ষা ব্যবস্থা বাংলাদেশ,bn,35.99834442138672,7,0.4,0.8571428571428571,0.5975087322498515,1.0
Semantic,বাংলাদেশ অর্থনীতি,bn,37.512779235839844,10,0.7,1.0,0.7967610662472993,1.0
Semantic,বাংলাদেশ ব্যাংক,bn,33.00142288208008,7,0.7,1.0,1.0,1.0
Semantic,ঢাকা যানজট,bn,34.99937057495117,5,0.2,1.0,0.29039140533630226,0.3333333333333333
Semantic,চেয়ার,bn,25.00176429748535,0,0.0,0.0,0.0,0.0
Semantic,বাংলাদেশ কৃষি সমস্যা,bn,35.99882125854492,9,0.2,0.3333333333333333,0.3259735800334642,1.0
Semantic,বেকারত্ব বাংলাদেশ,bn,25.999784469604492,4,0.3,1.0,0.7668091220635322,1.0
Semantic,বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,en,30.00044822692871,4,0.2,0.75,0.5032251913410369,1.0
Semantic,কক্সবাজার শরণার্থী শিবির আগুন,bn,36.99994087219238,3,0.3,1.0,0.9134015924715543,1.0
Semantic,নর্সিংদি ভূমিকম্প,en,26.506900787353516,0,0.0,0.0,0.0,0.0
Semantic,বাংলাদেশে মুদ্রাস্ফীতি,en,27.00042724609375,10,0.6,0.7,0.7183627972686238,1.0
Semantic,আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,en,27.9996395111084,4,0.2,0.75,0.35914753008966527,0.5
Semantic,উন্নয়ন,bn,25.000333786010742,8,0.3,0.375,0.5390031312763821,1.0
Semantic,climate change impact in Bangladesh,bn,36.99994087219238,3,0.0,1.0,0.0,0.07142857142857142
Semantic,Bangladesh economy growth,bn,35.99953651428223,9,0.5,1.0,0.6930221935231562,1.0
Semantic,Dhaka traffic congestion,en,34.99960899353027,9,0.6,0.8888888888888888,0.6104737758652405,0.5
Semantic,unemployment in Bangladesh,bn,26.999711990356445,4,0.2,1.0,0.44149241373678083,0.5
Semantic,Bangladesh interim government reforms,en,36.01884841918945,8,0.6,1.0,0.8053706965939337,1.0
Semantic,Rohingya refugee crisis in Bangladesh,bn,33.00166130065918,10,0.6,0.9,0.7222954974312066,1.0
Semantic,Bangladesh earthquake preparedness,en,29.998779296875,1,0.1,1.0,0.43067655807339306,0.25
Semantic,Bangladesh garment worker heat stress,bn,33.99991989135742,4,0.4,1.0,0.9558295932317544,1.0
Semantic,Bangladesh T20 World Cup security concerns,en,38.00010681152344,10,0.8,1.0,0.866947989864271,1.0
Semantic,Bangladesh quantum computing research,en,28.0001163482666,0,0.0,0.0,0.0,0.0
Hybrid,শিক্ষা ব্যবস্থা বাংলাদেশ,bn,2519.758939743042,7,0.4,0.7142857142857143,0.628610217676767,1.0
Hybrid,বাংলাদেশ অর্থনীতি,bn,1438.7528896331787,10,0.7,1.0,0.7917267193679839,1.0
Hybrid,বাংলাদেশ ব্যাংক,bn,1518.5327529907227,7,0.6,1.0,0.8205153279007444,1.0
Hybrid,ঢাকা যানজট,bn,1327.4528980255127,5,0.4,1.0,0.830419897363192,1.0
Hybrid,চেয়ার,bn,780.0149917602539,0,0.0,0.0,0.0,0.0
Hybrid,বাংলাদেশ কৃষি সমস্যা,bn,1990.678310394287,9,0.2,0.2222222222222222,0.33627415762678553,1.0
Hybrid,বেকারত্ব বাংলাদেশ,bn,1498.138189315796,4,0.1,0.75,0.19519002499605084,0.3333333333333333
Hybrid,বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,en,2768.9249515533447,4,0.1,0.25,0.11284514134893527,0.1
Hybrid,কক্সবাজার শরণার্থী শিবির আগুন,bn,2684.0391159057617,3,0.2,1.0,0.3295827480202853,0.2
Hybrid,নর্সিংদি ভূমিকম্প,en,1493.511438369751,0,0.0,0.0,0.0,0.0
Hybrid,বাংলাদেশে মুদ্রাস্ফীতি,en,1597.2719192504883,10,0.1,0.2,0.13886244387355454,0.5
Hybrid,আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,en,2742.220878601074,4,0.2,0.5,0.4144299250118475,0.5
Hybrid,উন্নয়ন,bn,765.6886577606201,8,0.7,1.0,0.8653577550776692,1.0
Hybrid,climate change impact in Bangladesh,bn,3214.0915393829346,3,0.2,0.6666666666666666,0.7653606369886217,1.0
Hybrid,Bangladesh economy growth,bn,2067.322015762329,9,0.1,0.1111111111111111,0.1482972305701491,0.5
Hybrid,Dhaka traffic congestion,en,2014.3272876739502,9,0.4,0.7777777777777778,0.5682963021961281,1.0
Hybrid,unemployment in Bangladesh,bn,2068.4096813201904,4,0.0,0.0,0.0,0.0
Hybrid,Bangladesh interim government reforms,en,2805.664300918579,8,0.5,0.625,0.7277341624565861,1.0
Hybrid,Rohingya refugee crisis in Bangladesh,bn,3250.3864765167236,10,0.4,0.5,0.35266373843404347,0.3333333333333333
Hybrid,Bangladesh earthquake preparedness,en,2194.3893432617188,1,0.1,1.0,1.0,1.0
Hybrid,Bangladesh garment worker heat stress,bn,3193.9592361450195,4,0.1,0.25,0.16812753627111746,0.25
Hybrid,Bangladesh T20 World Cup security concerns,en,3839.820384979248,10,0.8,0.8,0.866947989864271,1.0
Hybrid,Bangladesh quantum computing research,en,2770.1828479766846,0,0.0,0.0,0.0,0.0
